ID,Group,Data Point,Portal UI,Data Type,Data Source,API Period,Update frequency,Vendor Name,File Name,API / Web link,Logic,Input Field,System Output field,Remarks,
20260709234,Trading Volume,Trade Volume vs 20-Day Average Percent,"Daily Report - Market Performance, Daily Report - Top Daily Alerts",percentage,C: Backend,Current session and prior 20 valid sessions,Daily after market close,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,(tradeVolume - averageTradeVolume20D) / averageTradeVolume20D * 100,,market.tradeVolumeVs20DPercent,Return null when the baseline is missing or zero.,
20260709235,Short Volume,Short Volume Percent,"Daily Report - Market Performance, Daily Report - Top Daily Alerts",percentage,C: Backend,Exact report date,Daily after source publication,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,totalShortVolumeReported / totalVolumeReported * 100,,market.shortVolumePercent,Uses existing short-volume vendor inputs; return null when totalVolumeReported is zero or unavailable.,
20260709236,Stock Price,Closing Price History,Daily Report - Market Performance,list,A: Vendor,Contract Start date,Daily after market close,Chart Exchange,market_data_history_{ticker}.json,GET /market-data/history,"Array of aligned records: [{tradeDate, closePrice}]. Minimum 20 valid sessions; preferred 60.",,market.priceChart,Missing observations must be null rather than zero.,
20260709237,Trading Volume,Trade Volume History,Daily Report - Market Performance,list,A: Vendor,Contract Start date,Daily after market close,Chart Exchange,market_data_history_{ticker}.json,GET /market-data/history,"Array of aligned records: [{tradeDate, tradeVolume}]. Minimum 20 valid sessions; preferred 60.",,market.volumeChart,Use consolidated regular-session volume.,
20260709238,Short Interest,Short Interest As-Of Date,"Daily Report - Executive Close, Daily Report - Short and Lending",date,A: Vendor,Contract Start date,On short-interest publication,Fintel,short_interest_{ticker}_{YYYY-MM-DD}.json,,Date associated with the latest published short-interest observation.,,shortLending.shortInterestAsOfDate,Required because short interest may not update daily.,
20260709239,Social Sentiment,Prior 24-Hour Mention Count,"Daily Report - Narrative and Catalysts, Daily Report - Top Daily Alerts",number,C: Backend,Previous 24-hour comparison window,Daily after report cutoff,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,Count valid social records in the immediately preceding non-overlapping 24-hour window.,,sentiment.priorMentions,Use the same enabled-platform and deduplication rules as current mentions.,
20260709240,Social Sentiment,Mention Count Change,"Daily Report - Narrative and Catalysts, Daily Report - Top Daily Alerts",number,C: Backend,Current and prior 24-hour windows,Daily after report cutoff,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,currentMentions - priorMentions,,sentiment.mentionsChange,Return null when the prior window has not completed.,
20260709241,Social Sentiment,Mention Count Change Percent,"Daily Report - Narrative and Catalysts, Daily Report - Top Daily Alerts",percentage,C: Backend,Current and prior 24-hour windows,Daily after report cutoff,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,(currentMentions - priorMentions) / priorMentions * 100,,sentiment.mentionsChangePercent,Define the zero-prior-window policy explicitly; recommended output is null rather than infinity.,
20260709242,Social Sentiment,Sentiment Score Change,"Daily Report - Narrative and Catalysts, Daily Report - Top Daily Alerts",number,C: Backend,Current and prior 24-hour windows,Daily after report cutoff,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,currentSentimentScore - priorSentimentScore,,sentiment.scoreChange,Uses the existing positive=100 neutral=50 negative=0 scoring method.,
20260709243,Daily Close Report,Top Daily Alerts,"Daily Report - Executive Close, Daily Report - Top Daily Alerts",list,C: Backend,Exact report date and prior valid session,On report generation,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,"Evaluate approved deterministic rules; rank by severity then priority then absolute change percent; output up to 3 objects containing id, title, text, severity, priority, metric, currentValue, priorValue, change and changePercent.",,topDailyAlerts,AI may explain these alerts but must not decide whether they triggered.,
20260709244,Material Events,Verified Material Events,Daily Report - Narrative and Catalysts,list,C: Backend,Report window,On report generation,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,"Return up to 4 verified same-day event objects containing id, category, occurredAt, title, summary, severity, sourceUrl and verificationStatus.",,catalysts.materialEvents,May include confirmed press releases corporate actions ownership changes strategic-float changes and exchange/compliance events.,
20260709245,Material Events,Scheduled Events,Daily Report - Next Session,list,C: Backend,Next market session and known future dates,On report generation,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,"Return known scheduled event objects containing id, category, scheduledAt, title, sourceUrl and verificationStatus.",,nextSession.scheduledEvents,Known events only; do not include AI predictions.,
20260709246,Daily Close Report,Next-Session Threshold Watch,Daily Report - Next Session,list,C: Backend,Current report snapshot,On report generation,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,"Calculate approved observable watch levels and select up to 4 objects containing id, metric, currentValue, watchLevel, direction, title, text and severity.",,nextSession.thresholdWatch,"Initial rules: borrow fee = current + max(5, current*10%); shortable shares = current*85%; utilization = min(100,current+5); days to cover = current + max(0.5,current*10%).",
20260709247,Daily Close Report,AI Executive Brief,Daily Report - Executive Close,text,D: AI Engine / Rule Engine,Exact report date,On report generation,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,Generate 70-110 words explaining closing posture dominant driver what changed uncertainty and the single most important next-session implication.,,llmSections.executiveSummary.text,Canonical field for the current template; replaces the underspecified legacy report Executive Summary row.,
20260709248,Daily Close Report,AI Market Close Analysis,Daily Report - Market Performance,text,D: AI Engine / Rule Engine,Exact report date,On report generation,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,Generate 55-90 words explaining price and volume behavior liquidity quality unusual moves and whether the close confirmed or contradicted short-pressure signals.,,llmSections.marketCloseAnalysis.text,Do not infer short covering from price direction alone.,
20260709249,Daily Close Report,AI Short and Lending Analysis,Daily Report - Short and Lending,text,D: AI Engine / Rule Engine,Exact report date and valid source as-of dates,On report generation,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,Generate 70-110 words combining short interest SI/float borrow fee shortable shares utilization duration margins and days to cover; identify the strongest driver and uncertainty.,,llmSections.shortLendingAnalysis.text,Canonical field for the current template; replaces the underspecified legacy Short Selling Data & Analysis row.,
20260709250,Daily Close Report,AI Narrative and Catalyst Analysis,Daily Report - Narrative and Catalysts,text,D: AI Engine / Rule Engine,Previous 24 hours and report window,On report generation,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,Generate 65-100 words summarizing dominant narratives sentiment direction abnormal volume new filings and verified events while separating speculation.,,llmSections.narrativeCatalystAnalysis.text,Must cite report metrics or event titles and state missing-data uncertainty.,
20260709251,Daily Close Report,AI Next-Session Risk Outlook,Daily Report - Next Session,text,D: AI Engine / Rule Engine,Current report snapshot and known scheduled events,On report generation,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,Generate 60-90 words stating next-session risk posture conditions that strengthen or weaken it and important pre-market checks.,,llmSections.nextSessionOutlook.text,No unsupported forecast price target or trading instruction.,
20260709252,Daily Close Report,AI Management Action Queue,Daily Report - Next Session,text,D: AI Engine / Rule Engine,Current report snapshot,On report generation,,daily_close_report_{ticker}_{YYYY-MM-DD}.json,,Generate 70-110 words of prioritized role-specific actions for management investor relations legal/compliance and capital markets with evidence.,,llmSections.managementActionQueue.text,Every action must cite a report signal or known event.,
